class	id	name	speciesType	compartment	positionToCompartment	included	quantity type	initialQuantity	substanceUnits	hasOnlySubstanceUnits	b.c.	constants	MIRIAM[relation]	MIRIAM[datatype]	MIRIAM[id]
PROTEIN	s61	Rck2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004238
PROTEIN	s62	Ptp2		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005734
PROTEIN	s69	Nmd5		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003893
GENE	s6041	PTP2		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6042	PTP2		c2	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s26	Ptp3		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000877
RNA	s6045	PTP3		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6046	PTP3		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6049	STL1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6050	STL1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6051	GPD1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6054	GPD1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s66	Smp1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000386
GENE	s6052	HSP12		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6055	HSP12		c2	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6059	Sko1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005111
PROTEIN	s6071	Sch9		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001248
RNA	s6073	HAL1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6075	GRE2		c2	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6098	Gcn4		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000735
RNA	s6099	CTT1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6100	ENA1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6101	Rck2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004238
PROTEIN	s6105	Crm1		c2	transmembrane		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003450
PROTEIN	s6109	Nbp2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002569
PROTEIN	s81	Sho1		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000920
GENE	s96	PNC1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s99	PNC1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s100	Pnc1		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003005
PHENOTYPE	s6120	Hyperosmolarity		default	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6561	Act1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001855
PROTEIN	s6572	Hot1		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001567
PROTEIN	s6665	Opy2		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006279
PROTEIN	s6594	Ste50		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000537
SIMPLE_MOLECULE	s6605	ROS		c1	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6613	Ste11		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004354
PROTEIN	s6629	Yck2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005098
PROTEIN	s6630	Yck1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001177
GENE	s6632	GRE2		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6636	HAL1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6637	CTT1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6638	ENA1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6641	Skn7		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001249
PROTEIN	s6645	Skn7		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001249
GENE	s6646	OCH1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6647	OCH1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6649	Ste20		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000999
PROTEIN	s6650	Cla4		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005242
PROTEIN	s6667	Sho1		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000920
GENE	s6668	HXT1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6669	HXT1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6670	GPP2		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6671	GPP2		c2	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6672	Fps1		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003966
SIMPLE_MOLECULE	s6673	Glycerol		default	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6675	Stl1		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002944
PROTEIN	s6676	Ask10		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003329
PROTEIN	s6677	Rgc1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006319
PROTEIN	s6678	Ask10		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003329
PROTEIN	s6680	Fps1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003966
SIMPLE_MOLECULE	s390	glyceraldehyde 3-phosphate		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s391	dihydroxyacetone phosphate		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s380	Fructose 6-phosphate		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s383	"fructose 1,6-biphosphate"		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s340	Glucose		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s351	Glucose 6-phosphate		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s6681	Glycerol 3-phosphate		c1	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6682	Gpd1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002180
PROTEIN	s6683	Gpd2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005420
SIMPLE_MOLECULE	s412	NADH		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s465	NAD+		c1	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6684	Gpp1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001315
PROTEIN	s6685	Gpp2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000864
SIMPLE_MOLECULE	s6686	"fructose 2,6-bisphosphate"		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s6691	Dihydroxyacetone		c1	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6692	Gcy1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005646
PROTEIN	s6693	Dak2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001841
PROTEIN	s6694	Dak1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004535
SIMPLE_MOLECULE	s415	NADPH		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s416	NADP+		c1	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6695	Ypr1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002776
PROTEIN	s6696	Gup1		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003052
PROTEIN	s6697	Gup2		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006110
ION	s6698	H+		default	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6705	Plc1		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006189
PROTEIN	s6704	Sgd1		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004328
PROTEIN	s6712	Aqy2		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003975
SIMPLE_MOLECULE	s424	H2O		default	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6714	Aqy1		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006396
PHENOTYPE	s6715	Hypo-osmolarity		default	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s14	Ypd1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002394
PROTEIN	s15	Ypd1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002394
PROTEIN	s16	Hog1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004103
PROTEIN	s19	Hog1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004103
PROTEIN	s20	Ptc1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002164
PROTEIN	s24	Smp1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000386
PROTEIN	s25	Sko1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005111
SIMPLE_MOLECULE	s30	Glycerol		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s32	ATP		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s33	ADP		c1	inside		Amount	0		FALSE	FALSE	FALSE			
ION	s34	H+		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s38	H2O		c1	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s41	Hog1		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004103
PROTEIN	s46	Hog1		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004103
PROTEIN	s49	Smp1		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000386
PROTEIN	s63	Sir2		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002200
PROTEIN	s64	Sko1		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005111
PROTEIN	s65	Ypd1		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002394
PROTEIN	s67	Ypd1		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002394
SIMPLE_MOLECULE	s116	GDP		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s117	GTP		c1	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s118	Rom2		c1	innerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004363
PROTEIN	s6330	Rom2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004363
PROTEIN	s119	Sac7		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002797
PROTEIN	s120	Bag7		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005660
PROTEIN	s121	Bem2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000957
PROTEIN	s122	Pkh2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005460
PROTEIN	s123	Bck1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003631
PROTEIN	s23	Bck1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003631
PROTEIN	s124	Mid2		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004324
PROTEIN	s6456	Mkk2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006061
PROTEIN	s125	Mkk2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006061
PROTEIN	s6455	Mkk1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005757
PROTEIN	s126	Mkk1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005757
PROTEIN	s127	Mkk1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005757
PROTEIN	s128	Mid2		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004324
PROTEIN	s129	Slt2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001072
PROTEIN	s130	Slt2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001072
PROTEIN	s132	Sdp1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001375
PROTEIN	s133	Zeo1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005469
PROTEIN	s134	Msg5		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004998
PROTEIN	s135	Mkk2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006061
PROTEIN	s6231	Pkc1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000201
PROTEIN	s136	Msg5		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004998
PROTEIN	s137	Pkh1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002898
SIMPLE_MOLECULE	s6230	PS		c1	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s138	Pkc1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000201
PROTEIN	s145	Mid2		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004324
PROTEIN	s152	Pmt2		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000021
PROTEIN	s153	Slg1		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005534
PROTEIN	s154	Slg1		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005534
PROTEIN	s155	Pmt4		c3	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000003904
PROTEIN	s156	Rlm1		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006010
PROTEIN	s6244	Rlm1		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006010
PROTEIN	s157	Slt2		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001072
GENE	s6288	PIR1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6283	HSP150		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6284	CRH1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6285	DFG5		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6287	DFG5		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6286	CRH1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6282	HSP150		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6289	PIR1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6741	Gut1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001024
PROTEIN	s6742	Gut2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001417
COMPLEX	s6743	Hkr1/Sho1		c1	transmembrane	s6743(s13 s37)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6744	Msb2/Sho1		c1	transmembrane	s6744(s44 s53)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6745	Opy2/Ste50		c1	transmembrane	s6745(s6585 s6590)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6749	GDP Rho1		c1	transmembrane	s6749(s6203 s6184)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6750	GTP Rho1		c1	transmembrane	s6750(s8373 s8374)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6753	Ssk1/Ssk2		c1	inside	s6753(s51 s47)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6754	Ssk1/Ssk2		c1	inside	s6754(s39 s8581)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6755	Ssk1/Ssk22		c1	inside	s6755(s50 s6562)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6756	Ssk1/Ssk22		c1	inside	s6756(s40 s42)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6757	GTP Cdc42		c1	inside	s6757(s6651 s6652)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6758	GTP Cdc42/Ste20		c1	inside	s6758(s6654(s6655 s6656) s22)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6759	GTP Cdc42/Cla4 		c1	inside	s6759(s6657(s6658 s6659) s17)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6764	Act1 /Ssk2		c1	inside	s6764(s2631 s6128)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6769	Nbp2/Ptc1		c1	inside	s6769(s8582 s6111)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6771	Plc1/Sgd1		c2	inside	s6771(s6708 s6707)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6772	Hog1/Hot1		c2	inside	s6772(s97 s6037)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6773	Cyc8/Tup1		c2	inside	s6773(s71 s72)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6774	Cyc8/Tup1/Sko1		c2	inside	s6774(s8430(s6617 s6618) s6064)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6775	Cyc8/Tup1/Sko1/Hog1/Sch9		c2	inside	s6775(s6619(s6620 s6621) s6068 s6072 s6070)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6776	Cyc8/Tup1/Sko1/Hog1/Sch9		c2	inside	s6776(s6622(s6623 s6624) s6078 s6079 s6081)	Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6782	Gsp1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004284
GENE	s6571	TIR2		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6786	TIR1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6787	TIP1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s54	OLE1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6788	OLE1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6789	TIP1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6790	TIR1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6791	TIR2		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6792	HSP42		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6596	SSA4		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6595	HSP104		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6793	TPS2		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6603	HSP42		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6794	TPS1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6588	SSA4		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6587	HSP104		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6795	TPS2		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6796	TPS1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6606	Mga2		c2	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001472
GENE	s6573	INO1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6579	INO1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6574	OPI3		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6580	OPI3		c2	inside		Amount	0		FALSE	FALSE	FALSE			
PHENOTYPE	s6614	Phospholipid biosynthesis		c2	inside		Amount	0		FALSE	FALSE	FALSE			
DRUG	s6797	Zymolyase		default	inside		Amount	0		FALSE	FALSE	FALSE			
DRUG	s6799	DMSO		default	inside		Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6809	Ste11/Ste50		c1	transmembrane	s6809(s6810 s6811)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6812	Ste11/Ste50		c1	transmembrane	s6812(s6813 s6814)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s8312	Sho1/Pbs2		c1	transmembrane	s8312(s6817 s6818)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s6819	GTP Cdc42		c1	inside	s6819(s6820 s6821)	Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6822	Bem3		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000006036
PROTEIN	s6823	Rga1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000005653
PROTEIN	s6824	Rga2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002787
PROTEIN	s6825	Cdc24		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000039
PROTEIN	s6826	Ptc2		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000891
PROTEIN	s6827	Ptc3		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000000152
COMPLEX	s8313	Hog1/Msn2		c2	inside	s8313(s8684 s8315)	Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s8316	Hog1/Smp1		c2	inside	s8316(s8317 s8583)	Amount	0		FALSE	FALSE	FALSE			
GENE	s8319	CHA1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s8320	CHA1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s8321	FMP48		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s8322	FMP48		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s8323	PHO84		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s8324	PHO84		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s8325	RTC3		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s8326	RTC3		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s8327	NQM1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s8328	NQM1		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s8329	PUT4		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s8330	PUT4		c2	inside		Amount	0		FALSE	FALSE	FALSE			
GENE	s6710	AQY2		c2	inside		Amount	0		FALSE	FALSE	FALSE			
RNA	s6711	AQY2		c2	inside		Amount	0		FALSE	FALSE	FALSE			
COMPLEX	s8331	Hog1/Msn4		c2	inside	s8331(s8685 s8333)	Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s6709	Yfl054c		c1	outerSurface		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001840
SIMPLE_MOLECULE	s8337	FAD		c1	inside		Amount	0		FALSE	FALSE	FALSE			
SIMPLE_MOLECULE	s8338	FADH2		c1	inside		Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s393	Tpi1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000002457
PROTEIN	s392	Fba1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001543
PROTEIN	s387	Fbp1		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000004369
COMPLEX	s8342	Pfk complex		c1	inside	s8342(s8343 s8344 s8345)	Amount	0		FALSE	FALSE	FALSE			
PROTEIN	s385	Pfk26		c1	inside		Amount	0		FALSE	FALSE	FALSE	bqmodel:is	SGD	S000001369
