class	id	name	speciesType	compartment	positionToCompartment	included	quantity type	initialQuantity	substanceUnits	hasOnlySubstanceUnits	b.c.	constants
DRUG	s147	Myriocin		c1	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6591	NTH1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6592	NTH1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6596	Nth1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6614	Nth1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s143	Orm1		c1	insideOfMembrane		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s136	Orm1		c1	insideOfMembrane		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s144	Orm2		c1	innerSurface		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s141	Orm2		c1	innerSurface		Amount	0		FALSE	FALSE	FALSE
GENE	s6409	PDR3		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6410	PDR3		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s76	Pep4		c2	inside		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s84	PI		c4	insideOfMembrane		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s16	"PI4,5P2"		c4	insideOfMembrane		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s85	PI4P		c4	insideOfMembrane		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s82	Pil1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6231	Pkc1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s32	Pkc1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s67	Pkh1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s68	Pkh2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6577	Ppt1		c5	inside		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s6230	PS		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s64	Ptp3		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6330	Rom2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s61	Rom2		c4	insideOfMembrane		Amount	0		FALSE	FALSE	FALSE
GENE	s7	RPN4		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6275	RPN4		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6411	Rpn4		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6412	RPT2		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6414	RPT2		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s69	Rsp5		c4	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s6943	Regulates bud morphology		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s53	Sac7		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s55	Sdp1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s71	Sfk1		c4	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6578	SGT2		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6579	SGT2		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s39	Slt2		c4	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6898	SRO9		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6899	SRO9		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6902	Sro9		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6518	SSA4		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6900	Ssa1/2/3/4		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6524	SSB1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6525	SSB1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6527	SSB2		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6526	SSB2		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6538	SSC1		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6536	SSC1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6531	SSE1		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6530	SSE1		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6291	SSE2		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6292	SSE2		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6502	Ssn3		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6537	SSQ1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6539	SSQ1		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6528	SSZ1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6529	SSZ1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6933	Ste11		c4	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6546	STI1		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6545	STI1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s70	Stt4		c4	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s89	TIP1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s90	TIP1		c5	inside		Amount	0		FALSE	FALSE	FALSE
COMPLEX	s41	TORC2		c4	transmembrane	s41(s42 s43 s44 s45 s46 s47 s48)	Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6396	Tpk1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6586	Tpk2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6585	Tpk3		c4	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6610	TPP1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6611	TPP1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6612	Tpp1		c4	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6588	TPS1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6593	TPS1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6594	Tps1		c4	none		Amount	0		FALSE	FALSE	FALSE
RNA	s6589	TPS2		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6590	TPS2		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6595	Tps2		c4	none		Amount	0		FALSE	FALSE	FALSE
GENE	s6599	TPS3		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6600	TPS3		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6603	Tps3		c4	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6601	TSL1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6602	TSL1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6604	Tsl1		c4	inside		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s6597	Trehalose		c4	inside		Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6605	Trehalose synthase complex		c4	inside	s6605(s6606 s6607 s6608 s6609 s6613)	Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s6280	Uracil		default	inside		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s91	Uracil		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6575	Swe1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6581	YDJ1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6901	Ydj1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s138	Ypk1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s50	Ypk1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6452	Ypk1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s135	Ypk2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s139	Ypk2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6451	Ypk2		c4	inside		Amount	0		FALSE	FALSE	FALSE
DEGRADED	s6406	sa30_degraded		c5	inside		Amount	0		FALSE	FALSE	FALSE
DEGRADED	s6220	sa60_degraded		c2	inside		Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7079	"PI4,5P2/Slm1/Slm2/TORC2"		c4	transmembrane	s7079(s6487(s7049 s7050 s7051 s7052 s7053 s7054 s7055) s7077(s7056 s7057))	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7082	"PI4,5P2/Slm1/Slm2/TORC2"		c4	transmembrane	s7082(s121(s7042 s7043 s7044 s7045 s7046 s7047 s7048) s7080(s7039 s7040))	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7085	Slm1/Slm2		c4	inside	s7085(s51 s59)	Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7086	Fur4		c4	insideOfMembrane		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7087	Fur4		c4	inside		Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7088	Sfk1/Stt4		c4	inside	s7088(s94 s95)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7091	GDP Rho1		c4	transmembrane	s7091(s6203 s6184)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7092	GTP Rho1		c4	innerSurface	s7092(s6185 s6190)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7093	GTP Rho1/Fks1		c4	transmembrane	s7093(s7096(s7037 s7038) s6430)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7094	GTP Rho1/Gsc2		c4	transmembrane	s7094(s7097(s7061 s7062) s6431)	Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7099	Fur4		c2	inside		Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7101	Lsp1/Pil1		c4	inside	s7101(s8435 s8436)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7103	CN		c4	inside	s7103(s7104 s7104 s7104 s7104 s7104 s7104 s6305 s6306 s7104 s7102)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7111	Ca2+/Cna1/Cnb1		c4	inside	s7111(s6926 s6403 s7112 s7112 s7112 s7112)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7113	Ca2+/Cmd1		c4	inside	s7113(s1370 s7114 s7114 s7114)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7115	Glc7/Bud14		c4	inside	s7115(s6885 s6886)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7116	Glc7/Reg1		c4	inside	s7116(s6650 s6649)	Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7125	Slg1		c4	innerSurface		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7126	Wsc2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7127	Wsc3		c4	inside		Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7128	Rom2/Slg1		c4	outerSurface	s7128(s6192 s9)	Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7129	Lrg1		c4	inside		Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7130	Rom2/Wsc2		c4	inside	s7130(s7133 s7135)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7131	Rom2/Wsc3		c4	inside	s7131(s7132 s7134)	Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7136	Mid2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8364	Bni1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8365	Bnr1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8380	Sec3		c4	inside		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s56	cAMP		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7524	Bcy1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7525	Zds1		c4	inside		Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7945	Bcy1/Tpk1		c4	inside	s7945(s7530 s7531)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7944	Bcy1/Tpk2		c4	inside	s7944(s7533 s7534)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7943	Bcy1/Tpk3		c4	inside	s7943(s7537 s7538)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7942	Bcy1/Zds1		c4	inside	s7942(s7527 s7528)	Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s8382	sphingolipid long-chain base		c1	inside		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s8383	sphingolipid long-chain base phosphate		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8384	Lcb4		c1	innerSurface		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8385	Lcb3		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8386	Lcb5		c1	innerSurface		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8387	Ysr3		c1	inside		Amount	0		FALSE	FALSE	FALSE
DEGRADED	s8388	sa944_degraded		c1	insideOfMembrane		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8389	Dpl1		c1	inside		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s8390	L-serine		c1	inside		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s8391	palmitoyl-CoA		c1	innerSurface		Amount	0		FALSE	FALSE	FALSE
SIMPLE_MOLECULE	s8392	3-ketodihydrosphingosine		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8393	Lcb1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8394	Lcb2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8395	Tsc10		c1	inside		Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8396	Lcb1/Lcb2		c1	inside	s8396(s8525 s8398)	Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8399	Tsc3		c1	inside		Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8402	Lcb1/Lcb2/Orm2		c1	inside	s8402(s8403(s8404 s8405) s8401)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8406	Lcb1/Lcb2/Orm1		c1	inside	s8406(s8408(s8409 s8410) s8411)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8164	PP2A(Pph21/Tpd3/Cdc55)		c4	inside	s8164(s7791 s8413 s8414)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8163	PP2A(Pph22/Tpd3/Cdc55)		c4	inside	s8163(s8165 s8140 s8141)	Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8417	Pil1		c4	inside		Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8427	Pkh1/Lsp1/Pil1		c4	inside	s8427(s8434(s8440 s8441) s8439)	Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8433	Lsp1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7433	Crz1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7431	Crz1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6446	Crz1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7432	Crz1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6982	Crz1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6443	Msn5		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s5014	Hrr25		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8449	Nmd5		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7001	Crz1		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6983	Crz1		c5	inside		Amount	0		FALSE	FALSE	FALSE
DEGRADED	s8450	sa64_degraded		c5	inside		Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8451	Pho80/Pho85		c5	inside	s8451(s8453 s8455)	Amount	0		FALSE	FALSE	FALSE
GENE	s6954	PHO89		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6816	MDH1		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s4004	CIT2		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s3993	HXK1		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s3991	HXT7		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s3995	ALD4		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6955	PHO89		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6818	MDH1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s3999	HXK1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s4000	CIT2		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s3998	HXT7		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s2235	ALD4		c5	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s7170	Vesicle trafficking		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s7165	GYP7		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7164	GYP7		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6953	HXT2		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6952	HXT2		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s6819	GSY2		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6817	GSY2		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8010	HAL5		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7168	RCN1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s7167	YPT53		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7166	YPT53		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s1466	PMC1		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s1468	PMR1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s8458	ENA1		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8459	ENA1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s8011	HAL5		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s7169	RCN1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s1471	PMR1		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s2082	CMK2		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s4023	DIA1		c5	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s465	YOR385W		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s467	CMK2		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s468	DIA1		c5	inside		Amount	0		FALSE	FALSE	FALSE
RNA	s2090	YOR385W		c5	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6862	Yck1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6865	Akr1		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6864	Yck2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8460	Yck1		c4	insideOfMembrane		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8461	Yck2		c4	insideOfMembrane		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8462	Fur4		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8463	Yck2		c4	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8464	Yck1		c4	inside		Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8161	PP2A(Pph21/Tpd3/Rts1)		c4	inside	s8161(s8147 s8148 s8155)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8159	PP2A(Pph22/Tpd3/Rts1)		c4	inside	s8159(s8150 s8151 s8156)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8471	Far complex		c4	inside	s8471(s8465 s8466 s8467 s8468 s8469 s8470)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8472	PP2A/Far complex		c4	inside	s8472(s8473(s8474 s8475 s8476 s8477 s8478 s8479) s8492(s8493 s8494 s8495))	Amount	0		FALSE	FALSE	FALSE
