class	id	name	speciesType	compartment	positionToCompartment	included	quantity type	initialQuantity	substanceUnits	hasOnlySubstanceUnits	b.c.	constants
COMPLEX	s8680	Grx4/Fra2		c1	inside	s8680(s8993(s8994(s8996 s8997 s8996 s8997) s8995) s9039(s9041(s9042 s9043 s9042 s9043) s9040))	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8678	Grx4/2Fe-2S		c1	inside	s8678(s8927(s8928 s8929 s8928 s8929) s9038)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8682	Grx3/Fra2/Fra1		c1	inside	s8682(s9061(s9063(s9068(s9069 s9070 s9069 s9070) s9071) s9062(s9064(s9065 s9066 s9065 s9066) s9067)) s9013)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s681	Grx3/Fra2		c1	inside	s681(s9110(s9111(s9112 s9113 s9112 s9113) s8948) s9045(s9047(s9048 s9049 s9048 s9049) s9046))	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8677	Grx3/2Fe-2S		c1	inside	s8677(s8933(s8934 s8935 s8934 s8935) s9044)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7971	Glc7/Reg1		c1	inside	s7971(s9106 s8319)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6952	GTP Sui2		c1	inside	s6952(s6500 s6508)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6750	GTP Rho1		c1	transmembrane	s6750(s8373 s8374)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6541	GSSG		c1	inside	s6541(s8562 s8398 s8399)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8396	GSSG		c3	inside	s8396(s6542 s6543 s6544)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8446	GSSG		c8	inside	s8446(s8447 s8448 s8449)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6540	GSH		c1	inside	s6540(s8980 s8981 s8982)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6622	GSH		c3	inside	s6622(s629 s6535 s6536)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6680	GSH		c7	inside	s6680(s6674 s6675 s6676)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8442	GSH		c8	inside	s8442(s8749 s8738 s8739)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8787	GSH		c5	transmembrane	s8787(s8788 s8789 s8790)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6950	GDP Sui2		c1	inside	s6950(s6909 s9104)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6951	GDP Sui2		c1	inside	s6951(s6496 s6506)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6749	GDP Rho1		c1	transmembrane	s6749(s6203 s6184)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8679	Fra2/2Fe-2S		c1	inside	s8679(s8930(s8931 s8932 s8931 s8932) s8888)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8369	Fks1/Rho1		c1	inside	s8369(s8375(s6185 s6190) s9072)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8671	CN		c1	inside	s8671(s8672 s8673 s8674 s8674 s8674 s8674 s8675 s8676 s8676 s8676)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7942	Bcy1/Zds1		c1	inside	s7942(s7527 s7528)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7943	Bcy1/Tpk3		c1	inside	s7943(s7537 s7538)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7944	Bcy1/Tpk2		c1	inside	s7944(s7533 s7534)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8000	Bcy1/Tpk2		c2	inside	s8000(s8475 s119)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7945	Bcy1/Tpk1		c1	inside	s7945(s7531 s7530)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s7999	Bcy1/Tpk1		c2	inside	s7999(s6568 s6569)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8001	Bcy1/Tpk1		c2	inside	s8001(s117 s8110)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6941	Ask10/Skn7		c2	inside	s6941(s228 s229)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8414	Ahp1/Urm1		c1	inside	s8414(s8415 s8416)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6933	Ahp1/Cad1		c1	inside	s6933(s9102(s8422 s9103) s159)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s6934	Ahp1/Cad1		c1	inside	s6934(s8429(s8430 s8431) s172)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8424	Ahp1-Ox/Urm1		c1	inside	s8424(s153 s9105)	Amount	0		FALSE	FALSE	FALSE
COMPLEX	s8699	2Fe-2S cluster		c1	inside	s8699(s8926 s8925 s8926 s8925)	Amount	0		FALSE	FALSE	FALSE
DEGRADED	s234	sa232_degraded		c2	inside		Amount	0		FALSE	FALSE	FALSE
DEGRADED	s8761	s8761		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s179	ZWF1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s167	YNL134C		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8426	YLR042C		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8628	YGP1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s165	YDL124W		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s155	YCF1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7335	VHT1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s80	UBI4		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s202	UBA1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s186	TSA2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s175	TSA1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s23	TRX2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s75	TRR1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s196	TPS1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6635	TIS11		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s181	TAL1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s78	SSA1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8532	SPS100		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s30	SOD2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s29	SOD1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7301	SMF3		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8619	SLT2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7297	SIT1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s86	SHM2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8606	SED1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s198	RPT1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s16	RPN4		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s26	RPI1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s111	RNR4		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s93	RNR3		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s88	RLM1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6903	PST1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8427	PRY2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8611	PIR3		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6288	PIR1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s194	PGM2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8629	PGK1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s214	PDI1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8530	PCL2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8515	PCL1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s210	OYE3		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s206	OLA1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8609	NCW2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7309	MRS4		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s200	MPR1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s90	MIH1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s190	LYS20		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8620	KDX1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s135	HYR1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s161	HSP82		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s188	HSP78		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s40	HSP26		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6283	HSP150		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s38	HSP12		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s177	HSP104		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7313	HMX1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6696	GTT2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6691	GTO1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s82	GSH1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8516	GSC2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6618	GRX7		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6616	GRX6		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s25	GRX1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s62	GRE2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s83	GLR1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7287	FTR1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7305	FTH1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7311	FRE5		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7281	FRE4		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7280	FRE3		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7279	FRE2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8621	FKS1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7277	FIT3		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8610	FIT2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7273	FIT1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7303	FET5		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s13	FET4		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7285	FET3		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7299	ENB1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s208	DNM1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6285	DFG5		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s192	DAK1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s183	CYS3		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8607	CWP1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s21	CTT1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s599	CTH1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6284	CRH1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7307	COT1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8618	CIS3		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8623	CHS3		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8513	CHA1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s212	CDC48		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8608	CCW14		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s44	CCP1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7291	CCC2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s8627	BGL2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7289	ATX1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7295	ARN2		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s7293	ARN1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s18	AHP1		c2	inside		Amount	0		FALSE	FALSE	FALSE
GENE	s6525	ADH6		c2	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s8517	mRNA nuclear export		c2	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s8381	Vesicular transport		c1	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s6628	Sulfhydryl regulation		c5	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s8800	Sterol transport		c2	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s113	Selective protein degradation		c2	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s8795	Selective mRNA degradation		c2	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s8785	Protein maintenance		c2	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s6	Oxidative stress		default	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s253	Mitochondrial respiration		c3	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s8778	Mitochondrial fission		c2	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s8391	Mating		c2	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s8798	Heme degradation		c2	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s8777	Heat shock response		c2	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s6598	Fe-S cluster biosynthesis		c3	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s8797	Biotin uptake		c2	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s8636	Amino acid metabolism		c2	inside		Amount	0		FALSE	FALSE	FALSE
PHENOTYPE	s8366	Actin cytoskeleton assembly		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s133	Zeo1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7525	Zds1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s246	Ykl069w		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6577	Ycf1		c6	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s142	Yap1-Ox		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s42	Yap1		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8482	Yap1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6561	Yak1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s98	Yak1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7547	Yak1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s7546	Yak1		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8760	Yak1		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8413	Urm1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s236	Ump1		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8420	Uba4		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6489	Tsa2-Ox		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6490	Tsa2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s51	Tsa1-Ox		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s143	Tsa1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6483	Trx3-Ox		c3	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6484	Trx3		c3	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s52	Trx2-Ox		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8758	Trx2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6585	Trx1-Ox		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6586	Trx1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6468	Trr2		c3	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s169	Trr1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8461	Tpk3		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8474	Tpk3		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8460	Tpk2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s154	Tpk2		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s152	Tpk1		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8502	Swi6		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8508	Swi6		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8751	Swi6		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8509	Swi4		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8361	Stt4		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6694	Str3-Ox		c8	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6695	Str3		c8	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8662	Ssn8		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8664	Ssn8		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8663	Ssn3		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6485	Srx1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s242	Sod1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s130	Slt2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s129	Slt2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8389	Slt2		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s157	Slt2		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8755	Slg1		c7	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8567	Sac7		c1	transmembrane		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s2	Skn7		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8380	Sec3		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s132	Sdp1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s28	Rox3		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6330	Rom2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8756	Rom2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6244	Rlm1		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8528	Rlm1		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8802	Rlm1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s74	Pse1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6463	Prx1-Ox		c3	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6462	Prx1		c3	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8492	Pmt4		c7	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8491	Pmt2		c7	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s122	Pkh2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s137	Pkh1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s138	Pkc1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6231	Pkc1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6442	Nmd5		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8393	Nab2		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8392	Nab2		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s248	Mxr2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s247	Mxr1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8362	Mss4		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8314	Msn5		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s47	Msn4		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s53	Msn4		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s46	Msn2		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s54	Msn2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8480	Msn2		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8568	Msi1		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s134	Msg5		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8754	Msg5		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s125	Mkk2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8501	Mkk2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6456	Mkk2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s127	Mkk1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s126	Mkk1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6455	Mkk1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s124	Mid2		c7	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s128	Mid2		c7	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s846	Methionine sulfoxide		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8458	Met Protein		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8363	Lrg1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s131	Kdx1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8394	Kdx1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8507	Kdx1		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s114	Kap123		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6593	Isa2		c3	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6592	Isa1		c3	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s35	Hyr1-Ox		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s150	Hyr1		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s45	Hsf1		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8476	Hsf1		c2	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6661	Gtt2		c3	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s8801	Gtt2		c3	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6690	Gtt1		c7	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6550	Gto3		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6549	Gto2		c1	inside		Amount	0		FALSE	FALSE	FALSE
PROTEIN	s6910	Gto1		c8	inside		Amount	0		FALSE	FALSE	FALSE
